Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ASB,Austal Limited,Industrials,"1,240,740,000",0.06,,,
AAC,Australian Agricult,Consumer Staples,"663,043,000",0.03,,,
API,Australian Pharm,Health Care,"588,724,000",0.03,,,
AVN,Aventus Group FP Ordinary/Units Stapled Securities,Real Estate,"1,576,640,000",0.08,,,
AVH,Avita Medical Limited,Health Care,"1,270,480,000",0.07,,,
BBN,Baby Bunting Group Limited,Consumer Discretionary,"381,418,000",0.02,,,
BOQ,Bank of Queensland,Financials,"3,402,970,000",0.18,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,661,690,000",0.09,,,
BPT,Beach Energy Limited,Energy,"4,002,820,000",0.21,,,
BGA,Bega Cheese Limited,Consumer Staples,"867,692,000",0.04,,,
BGL,Bellevue Gold Limited,Materials,"341,949,000",0.02,,,
BEN,Bendigo and Adelaide,Financials,"4,529,210,000",0.23,,,
BHP,BHP Group Limited,Materials,"98,980,600,000",5.11,,,
BIN,Bingo Industries Limited,Industrials,"1,869,900,000",0.1,,,
BKL,Blackmores Limited,Consumer Staples,"1,119,040,000",0.06,,,
BSL,Bluescope Steel Limited,Materials,"5,975,400,000",0.31,,,
BLD,Boral Limited,Materials,"5,298,940,000",0.27,,,
BXB,Brambles Limited,Industrials,"18,472,000,000",0.95,,,
BVS,Bravura Solution Limited,Information Technology,"1,096,250,000",0.06,,,
BRG,Breville Group Limited,Consumer Discretionary,"2,535,930,000",0.13,,,
BKW,Brickworks Limited,Materials,"2,686,880,000",0.14,,,
BUB,Bubs Aust Limited,Consumer Staples,"366,993,000",0.02,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,434,630,000",0.13,,,
BWX,BWX Limited,Consumer Staples,"504,455,000",0.03,,,
CTX,Caltex Australia,Energy,"8,165,420,000",0.42,,,
CDD,Cardno Limited,Industrials,"187,748,000",0.01,,,
CVN,Carnarvon Petroleum,Energy,"383,273,000",0.02,,,
CAR,Carsales.com Limited,,"3,973,260,000",0.2,,,
CWP,Cedar Woods Prop,Real Estate,"567,157,000",0.03,,,
CNI,Centuria Capital FP Ordinary/Units Stapled Securities,Financials,"1,222,060,000",0.06,,,
CIP,Centuria I REIT Ordinary Units FP,Real Estate,"1,247,440,000",0.06,,,
COF,Centuria Office REIT Ordinary Units FP,Real Estate,"1,569,290,000",0.08,,,
CGF,Challenger Limited,Financials,"5,562,730,000",0.29,,,
CIA,Champion Iron Limited,Materials,"935,377,000",0.05,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"5,812,900,000",0.3,,,
CQR,Charter Hall Retail Units FP,Real Estate,"2,186,920,000",0.11,,,
CQE,Charter Hall Soc in Units FP,Real Estate,"1,041,370,000",0.05,,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"2,835,300,000",0.15,,,
CLW,CHTR H LWR FP Units Stapled Securities,Real Estate,"2,712,900,000",0.14,,,
CIM,Cimic Group Limited,Industrials,"7,717,650,000",0.4,,,
CWY,Cleanaway Waste Limited,Industrials,"4,656,720,000",0.24,,,
CUV,Clinuvel Pharmaceut,Health Care,"878,022,000",0.05,,,
CCL,Coca-Cola Amatil,Consumer Staples,"8,318,760,000",0.43,,,
COH,Cochlear Limited,Health Care,"12,004,900,000",0.62,,,
CDA,Codan Limited,Information Technology,"1,294,150,000",0.07,,,
COL,Coles Group,Consumer Staples,"18,955,100,000",0.98,,,
CKF,Collins Foods Limited,Consumer Discretionary,"1,025,910,000",0.05,,,
CBA,Commonwealth Bank,Financials,"144,770,000,000",7.47,,,
CPU,Computershare Limited,Information Technology,"8,286,280,000",0.43,,,
COE,Cooper Energy Limited,Energy,"788,924,000",0.04,,,
CTD,Corp Travel Limited,Consumer Discretionary,"1,519,470,000",0.08,,,
CGC,Costa Group Holdings,Consumer Staples,"1,186,340,000",0.06,,,
CCP,Credit Corp Group,Financials,"1,812,300,000",0.09,,,
CMW,Cromwell Prop FP Ordinary/Units Stapled Securities,Real Estate,"2,978,670,000",0.15,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"6,879,930,000",0.35,,,
CSL,CSL Limited,Health Care,"140,449,000,000",7.24,,,
CSR,CSR Limited,Materials,"2,059,190,000",0.11,,,
DCN,Dacian Gold Limited,Materials,"319,798,000",0.02,,,
DTL,Data#3 Limited,Information Technology,"634,377,000",0.03,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"13,332,200,000",0.69,,,
DHG,Domain Holdings Aus,,"1,860,020,000",0.1,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"4,793,120,000",0.25,,,
DOW,Downer Edi Limited,Industrials,"3,389,800,000",0.17,,,
ECX,Eclipx Group Limited,Financials,"463,473,000",0.02,,,
ELD,Elders Limited,Consumer Staples,"1,204,910,000",0.06,,,
EHL,Emeco Holdings,Industrials,"673,789,000",0.03,,,
EML,EML Payments Limited,Information Technology,"1,178,020,000",0.06,,,
EHE,Estia Health Limited,Health Care,"501,292,000",0.03,,,
A2M,The a2 Milk Company,Consumer Staples,"11,347,300,000",0.59,,,
EVN,Evolution Mining Limited,Materials,"6,885,790,000",0.36,,,
FAR,FAR Limited,Energy,"219,534,000",0.01,,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"4,134,430,000",0.21,,,
FLT,Flight Centre Travel,Consumer Discretionary,"3,299,040,000",0.17,,,
FMG,Fortescue Metals Group,Materials,"31,036,000,000",1.6,,,
FNP,Freedom Food Limited,Consumer Staples,"1,126,120,000",0.06,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"14,128,000,000",0.73,,,
FXL,Flexigroup Limited,Financials,"605,390,000",0.03,,,
GDI,GDI Property Group FP Ordinary/Units Stapled Securities,Real Estate,"808,069,000",0.04,,,
GEM,G8 Education Limited,Consumer Discretionary,"747,788,000",0.04,,,
GMA,Genworth Mortgage,Financials,"1,328,300,000",0.07,,,
GMG,Goodman Group FP Ordinary/Units Stapled Securities,Real Estate,"27,389,600,000",1.41,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,785,070,000",0.09,,,
GOR,Gold Road Res Limited,Materials,"1,274,410,000",0.07,,,
GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,Real Estate,"3,295,500,000",0.17,,,
GPT,GPT Group FP Ordinary/Units Stapled Securities,Real Estate,"11,259,000,000",0.58,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"922,500,000",0.05,,,
GWA,GWA Group Limited,Industrials,"863,109,000",0.04,,,
GXY,Galaxy Resources,Materials,"364,437,000",0.02,,,
HLS,Healius,Health Care,"1,893,140,000",0.1,,,
HPI,Hotel Property FP Ordinary/Units Stapled Securities,Real Estate,"473,893,000",0.02,,,
HSN,Hansen Technologies,Information Technology,"629,557,000",0.03,,,
HT1,HT&E Limited,,"378,309,000",0.02,,,
HUB,HUB24 Limited,Financials,"631,604,000",0.03,,,
HVN,Harvey Norman,Consumer Discretionary,"4,622,680,000",0.24,,,
IAG,Insurance Australia,Financials,"14,744,500,000",0.76,,,
IAP,Investec Aust Prop Ordinary Units FP,Real Estate,"904,721,000",0.05,,,
IEL,Idp Education Limited,Consumer Discretionary,"5,406,960,000",0.28,,,
IFL,IOOF Holdings Limited,Financials,"1,990,600,000",0.1,,,
IFM,Infomedia Limited,Information Technology,"674,892,000",0.03,,,
IFN,Infigen Energy FP Ordinary/Units Stapled Securities,Utilities,"615,776,000",0.03,,,
IGL,Ivegroup,,"258,622,000",0.01,,,
IGO,IGO Limited,Materials,"3,113,500,000",0.16,,,
ILU,Iluka Resources,Materials,"3,524,360,000",0.18,,,
IMD,IMDEX Limited,Materials,"605,369,000",0.03,,,
IMF,IMF Bentham Limited,Financials,"1,069,970,000",0.06,,,
INA,Ingenia Group FP Ordinary/Units Stapled Securities,Real Estate,"1,351,510,000",0.07,,,
ING,Inghams Group,Consumer Staples,"1,286,010,000",0.07,,,
INR,Ioneer Limited,Materials,"260,382,000",0.01,,,
IPH,IPH Limited,Industrials,"1,801,840,000",0.09,,,
IPL,Incitec Pivot,Materials,"4,404,700,000",0.23,,,
IRE,Iress Limited,Information Technology,"2,074,590,000",0.11,,,
IRI,Integrated Research,Information Technology,"481,210,000",0.02,,,
ISX,Isignthis Limited,Information Technology,"1,171,220,000",0.06,,,
ITG,Intega Group Limited,Industrials,"193,691,000",0.01,,,
IVC,Invocare Limited,Consumer Discretionary,"1,699,180,000",0.09,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"4,226,560,000",0.22,,,
JHC,Japara Healthcare LT,Health Care,"240,523,000",0.01,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"1,283,590,000",0.07,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"12,505,900,000",0.65,,,
JIN,Jumbo Interactive,Consumer Discretionary,"689,783,000",0.04,,,
JMS,Jupiter Mines,Materials,"470,158,000",0.02,,,
KAR,Karoon Energy Limited,Energy,"467,272,000",0.02,,,
KGN,Kogan.com Limited,Consumer Discretionary,"421,996,000",0.02,,,
LIC,Lifestyle Communit,Real Estate,"847,861,000",0.04,,,
LLC,Lendlease Group FP Ordinary/Units Stapled Securities,Real Estate,"9,951,750,000",0.51,,,
LNK,Link Admin HLDG,Information Technology,"2,494,890,000",0.13,,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"1,016,470,000",0.05,,,
LYC,Lynas Corporation,Materials,"1,286,660,000",0.07,,,
MAH,Macmahon Holdings,Materials,"603,396,000",0.03,,,
MFG,Magellan Fin Group Limited,Financials,"10,163,900,000",0.52,,,
MGR,Mirvac Group FP Ordinary/Units Stapled Securities,Real Estate,"11,959,200,000",0.62,,,
MGX,Mount Gibson Iron,Materials,"798,801,000",0.04,,,
MIN,Mineral Resources,Materials,"3,117,710,000",0.16,,,
MLD,Maca Limited,Materials,"241,207,000",0.01,,,
MMS,Mcmillan Shakespeare,Industrials,"838,037,000",0.04,,,
MND,Monadelphous Group,Industrials,"1,361,180,000",0.07,,,
MNY,MONEY3 Corporation,Financials,"515,932,000",0.03,,,
MP1,Megaport Limited,Information Technology,"1,457,130,000",0.08,,,
MPL,Medibank Private Limited,Financials,"7,793,830,000",0.4,,,
MQG,Macquarie Group Limited,Financials,"47,781,200,000",2.46,,,
MSB,Mesoblast Limited,Health Care,"1,203,160,000",0.06,,,
MTS,Metcash Limited,Consumer Staples,"2,245,860,000",0.12,,,
MVF,Monash Ivf Group Limited,Health Care,"214,565,000",0.01,,,
MYR,Myer Holdings Limited,Consumer Discretionary,"279,235,000",0.01,,,
MYS,Mystate Limited,Financials,"535,135,000",0.03,,,
MYX,Mayne Pharma Limited,Health Care,"545,697,000",0.03,,,
NAB,National Aust. Bank,Financials,"73,978,700,000",3.82,,,
NAN,Nanosonics Limited,Health Care,"2,013,190,000",0.1,,,
NCK,Nick Scali Limited,Consumer Discretionary,"579,150,000",0.03,,,
NCM,Newcrest Mining,Materials,"20,220,600,000",1.04,,,
NCZ,New Century Resource,Materials,"73,353,300",0,,,
NEA,Nearmap Limited,Information Technology,"744,293,000",0.04,,,
NEC,Nine Entertainment,,"2,703,050,000",0.14,,,
NGI,Navigator Global Limited,Financials,"486,444,000",0.03,,,
NHC,New Hope Corporation,Energy,"1,201,820,000",0.06,,,
NHF,Nib Holdings Limited,Financials,"2,111,670,000",0.11,,,
NIC,Nickelmineslimited,Materials,"692,562,000",0.04,,,
NSR,National Storage FP Ordinary/Units Stapled Securities,Real Estate,"1,757,370,000",0.09,,,
NST,Northern Star,Materials,"9,961,060,000",0.51,,,
NUF,Nufarm Limited,Materials,"1,940,240,000",0.1,,,
NWH,NRW Holdings Limited,Industrials,"1,024,040,000",0.05,,,
NWL,Netwealth Group,Financials,"1,806,480,000",0.09,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,,"981,439,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,718,350,000",0.14,,,
OFX,OFX Group Limited,Financials,"313,415,000",0.02,,,
OGC,Oceanagold Corp Chess Depositary Interest 1:1,Materials,"175,775,000",0.01,,,
OML,Ooh!Media Limited,,"678,681,000",0.04,,,
ORA,Orora Limited,Materials,"3,294,250,000",0.17,,,
ORE,Orocobre Limited,Materials,"707,159,000",0.04,,,
ORG,Origin Energy,Energy,"12,293,300,000",0.63,,,
ORI,Orica Limited,Materials,"8,010,080,000",0.41,,,
OSH,Oil Search Limited 10 Toea,Energy,"8,370,860,000",0.43,,,
OZL,OZ Minerals,Materials,"2,917,690,000",0.15,,,
PDL,Pendal Group Limited,Financials,"2,388,740,000",0.12,,,
PDN,Paladin Energy Limited,Energy,"166,287,000",0.01,,,
PET,Phoslock ENV Tec Limited,Industrials,"324,870,000",0.02,,,
PGH,Pact Group Holdings Limited,Materials,"682,827,000",0.04,,,
PLS,Pilbara Min Limited,Materials,"555,926,000",0.03,,,
PME,Pro Medicus Limited,Health Care,"2,095,570,000",0.11,,,
PMV,Premier Investments,Consumer Discretionary,"2,671,880,000",0.14,,,
PNI,Pinnacle Investment,Financials,"967,902,000",0.05,,,
PNV,Polynovo Limited,Health Care,"1,513,890,000",0.08,,,
PPT,Perpetual Limited,Financials,"1,799,330,000",0.09,,,
PRN,Perenti Global Limited,Materials,"927,959,000",0.05,,,
PRU,Perseus Mining Limited,Materials,"1,208,940,000",0.06,,,
PTM,Platinum Asset,Financials,"2,387,780,000",0.12,,,
QAN,Qantas Airways,Industrials,"8,244,090,000",0.43,,,
QBE,QBE Insurance Group,Financials,"17,740,400,000",0.92,,,
QUB,QUBE Holdings Limited,Industrials,"4,747,440,000",0.24,,,
RDC,Redcape Hotel Group FP Units Stapled Securities,Consumer Discretionary,"607,415,000",0.03,,,
REA,REA Group,,"12,950,200,000",0.67,,,
REG,Regis Healthcare Limited,Health Care,"532,325,000",0.03,,,
RFF,Rural Funds Group FP Units Stapled Securities,Real Estate,"650,064,000",0.03,,,
RHC,Ramsay Health Care,Health Care,"13,743,500,000",0.71,,,
RIO,RIO Tinto Limited,Materials,"32,396,000,000",1.67,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"9,528,130,000",0.49,,,
RMS,Ramelius Resources,Materials,"757,241,000",0.04,,,
RRL,Regis Resources,Materials,"2,047,970,000",0.11,,,
RSG,Resolute Mining,Materials,"1,056,600,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"2,670,520,000",0.14,,,
S32,SOUTH32 Limited,Materials,"10,877,400,000",0.56,,,
SAR,Saracen Mineral,Materials,"4,157,900,000",0.21,,,
SBM,ST Barbara Limited,Materials,"1,643,030,000",0.08,,,
SCG,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate,"18,126,100,000",0.94,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,835,740,000",0.15,,,
SDA,Speedcast Int Limited,Telecommunication Services,"189,396,000",0.01,,,
SDF,Steadfast Group Limited,Financials,"3,237,020,000",0.17,,,
SEK,Seek Limited,Industrials,"7,280,650,000",0.38,,,
SFR,Sandfire Resources,Materials,"758,403,000",0.04,,,
SGF,SG Fleet Group Limited,Industrials,"550,536,000",0.03,,,
SGM,Sims Limited,Materials,"1,942,100,000",0.1,,,
SGP,Stockland FP Ordinary/Units Stapled Securities,Real Estate,"11,230,300,000",0.58,,,
SGR,The Star Ent Group,Consumer Discretionary,"3,348,230,000",0.17,,,
SHL,Sonic Healthcare,Health Care,"13,681,600,000",0.71,,,
SHV,Select Harvests,Consumer Staples,"605,929,000",0.03,,,
SIG,Sigma Health Limited,Health Care,"587,943,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"841,250,000",0.04,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,034,950,000",0.1,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,584,570,000",0.18,,,
SLC,Superloop Limited,Telecommunication Services,"281,717,000",0.01,,,
SLR,Silver Lake Resource,Materials,"1,412,150,000",0.07,,,
SM1,Synlait Milk Limited Foreign Exempt NZX,Consumer Staples,"1,020,260,000",0.05,,,
SOL,Soul Pattinson (W.H),Energy,"4,673,000,000",0.24,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"7,991,150,000",0.41,,,
SPL,Starpharma Holdings,Health Care,"381,856,000",0.02,,,
SSM,Service Stream,Industrials,"855,714,000",0.04,,,
STO,Santos Limited,Energy,"14,227,300,000",0.73,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,602,090,000",0.08,,,
SUN,Suncorp Group Limited,Financials,"14,299,200,000",0.74,,,
SVW,Seven Group Holdings,Industrials,"5,962,510,000",0.31,,,
SWM,Seven West Media Limited,,"253,776,000",0.01,,,
SXL,STHN Cross Media,,"526,774,000",0.03,,,
SXY,SENEX Energy Limited,Energy,"364,115,000",0.02,,,
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,"17,558,900,000",0.91,,,
SYR,Syrah Resources,Materials,"157,195,000",0.01,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"7,675,830,000",0.4,,,
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,"40,615,000,000",2.1,,,
TGR,Tassal Group Limited,Consumer Staples,"798,393,000",0.04,,,
TLS,Telstra Corporation,Telecommunication Services,"40,794,000,000",2.1,,,
TNE,Technology One,Information Technology,"2,498,380,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"6,986,420,000",0.36,,,
TWE,Treasury Wine Estate,Consumer Staples,"7,941,000,000",0.41,,,
URW,Unibailrodawestfield Cdi 20:1 Foreign Exempt Xpar,Real Estate,"2,813,520,000",0.15,,,
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,"8,115,680,000",0.42,,,
VEA,Viva Energy Group,Energy,"3,422,380,000",0.18,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,134,760,000",0.11,,,
VRL,Village Roadshow Limited,,"685,068,000",0.04,,,
VRT,Virtus Health Limited,Health Care,"333,618,000",0.02,,,
VUK,Virgin Money Uk Plc Cdi 1:1 Foreign Exempt Lse,Financials,"2,702,540,000",0.14,,,
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,"2,123,940,000",0.11,,,
WAF,West African Res Limited,Materials,"483,116,000",0.02,,,
WBC,Westpac Banking Corp,Financials,"85,380,200,000",4.4,,,
WEB,Webjet Limited,Consumer Discretionary,"1,296,350,000",0.07,,,
WES,Wesfarmers Limited,Consumer Discretionary,"46,090,600,000",2.38,,,
WGX,Westgold Resources,Materials,"811,797,000",0.04,,,
WHC,Whitehaven Coal,Energy,"2,052,090,000",0.11,,,
WOR,Worley Limited,Energy,"6,515,240,000",0.34,,,
WOW,Woolworths Group Limited,Consumer Staples,"48,935,200,000",2.52,,,
WPL,Woodside Petroleum,Energy,"26,308,700,000",1.36,,,
WPP,WPP AUNZ Limited,,"515,552,000",0.03,,,
WSA,Western Areas Limited,Materials,"662,464,000",0.03,,,
WTC,Wisetech Global Limited,Information Technology,"4,806,530,000",0.25,,,
XRO,Xero Limited,Information Technology,"10,440,600,000",0.54,,,
Z1P,ZIP Co Limited,Financials,"1,061,860,000",0.05,,,
