Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate,"2,400,630,000",0.12,,"1,938,573,475,900",
AX1,Accent Group Limited,Consumer Discretionary,"894,575,000",0.05,,,
ABC,Adelaide Brighton,Materials,"1,955,170,000",0.1,,Sector Breakdown,
APT,Afterpay Limited,Information Technology,"8,776,740,000",0.45,,Consumer Discretionary,6.92
AGL,AGL Energy Limited,Utilities,"12,230,500,000",0.63,,Consumer Staples,5.72
AQG,Alacer Gold Corp Chess Depositary Interests 1:1,Materials,"452,221,000",0.02,,Energy,4.83
ALQ,Als Limited,Industrials,"4,033,080,000",0.21,,Financials,28.5
ALU,Altium Limited,Information Technology,"4,033,750,000",0.21,,Health Care,11.46
AWC,Alumina Limited,Materials,"5,586,900,000",0.29,,Industrials,8.47
AMA,AMA Group Limited,Industrials,"380,386,000",0.02,,Information Technology,3.01
AYS,Amaysim Aus Limited,Telecommunication Services,"87,057,600",0,,Materials,16.77
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,"14,946,100,000",0.77,,Real Estate,8.01
AMP,AMP Limited,Financials,"5,756,300,000",0.3,,Telecommunication Services,3.16
ANN,Ansell Limited,Health Care,"3,852,750,000",0.2,,Utilities,1.83
ANZ,ANZ Banking Group Limited,Financials,"70,422,300,000",3.63,,,
APE,AP Eagers Limited,Consumer Discretionary,"2,281,570,000",0.12,,,
APA,APA Group FP Units Stapled Securities,Utilities,"12,672,100,000",0.65,,,
ADI,Apn Industria REIT FP Ordinary/Units Stapled Securities,Real Estate,"600,797,000",0.03,,,
APX,Appen Limited,Information Technology,"2,520,570,000",0.13,,,
ARB,ARB Corporation,Consumer Discretionary,"1,369,090,000",0.07,,,
ALG,Ardentleisuregrpltd,Consumer Discretionary,"431,735,000",0.02,,,
ARF,Arena REIT FP Ordinary/Units Stapled Securities,Real Estate,"902,887,000",0.05,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"21,142,200,000",1.09,,,
AHY,Asaleo Care Limited,Consumer Staples,"570,279,000",0.03,,,
ASX,ASX Limited,Financials,"14,353,100,000",0.74,,,
ALX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials,"7,049,780,000",0.36,,,
AUB,AUB Group Limited,Financials,"1,025,040,000",0.05,,,
AIA,Auckland Internation Foreign Exempt NZX,Industrials,"9,270,760,000",0.48,,,
AD8,Audinategroupltd,Information Technology,"435,260,000",0.02,,,
AMI,Aurelia Metals Limited,Materials,"345,224,000",0.02,,,
AZJ,Aurizon Holdings Limited,Industrials,"9,432,820,000",0.49,,,
AST,Ausnet Services Limited,Utilities,"6,316,990,000",0.33,,,
