All Ordinaries Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"3,751,640,000",0.2,,,
FID,Fiducian Group Limited,Financials,"144,950,000",0.01,,,
FLC,Fluence Corporation,Industrials,"187,456,000",0.01,,,
FLN,Freelancer Limited,Industrials,"189,876,000",0.01,,,
FLT,Flight Centre Travel,Consumer Discretionary,"2,532,530,000",0.14,,,
FMG,Fortescue Metals Group,Materials,"28,203,300,000",1.52,,,
FMS,Flinders Mines Limited,Materials,"108,040,000",0.01,,,
FNP,Freedom Food Limited,Consumer Staples,"1,227,750,000",0.07,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"14,570,700,000",0.79,,,
FRI,Finbar Group Limited,Real Estate,"224,502,000",0.01,,,
FSA,FSA Group Limited,Financials,"140,104,000",0.01,,,
FWD,Fleetwood Corp,Consumer Discretionary,"130,563,000",0.01,,,
FXL,Flexigroup Limited,Financials,"534,400,000",0.03,,,
GDF,Garda PRPTY Group FP Ordinary/Units Stapled Securities,Real Estate,"291,385,000",0.02,,,
GDI,GDI Property Group FP Ordinary/Units Stapled Securities,Real Estate,"770,106,000",0.04,,,
GEM,G8 Education Limited,Consumer Discretionary,"577,522,000",0.03,,,
GLL,Galilee Energy Limited,Energy,"133,011,000",0.01,,,
GMA,Genworth Mortgage,Financials,"1,093,160,000",0.06,,,
GMG,Goodman Group FP Ordinary/Units Stapled Securities,Real Estate,"25,561,200,000",1.38,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,830,850,000",0.1,,,
GNE,Genesis Energy Limited Foreign Exempt NZX,Utilities,"2,882,440,000",0.16,,,
GNG,GR Engineering Limited,Materials,"119,826,000",0.01,,,
GOR,Gold Road Res Limited,Materials,"1,151,360,000",0.06,,,
GOW,Gowing Bros. Limited,Financials,"105,988,000",0.01,,,
GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,Real Estate,"3,056,250,000",0.16,,,
GPT,GPT Group FP Ordinary/Units Stapled Securities,Real Estate,"11,025,300,000",0.59,,,
GRR,Grange Resources,Materials,"237,254,000",0.01,,,
GTN,GTN Limited,Communication Services,"149,514,000",0.01,,,
