All Ordinaries Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
SBM,ST Barbara Limited,Materials,"1,650,020,000",0.09,,,
SCG,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate,"15,925,800,000",0.86,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,732,110,000",0.15,,,
SDA,Speedcast Int Limited,,"189,396,000",0.01,,,
SDF,Steadfast Group Limited,Financials,"2,762,260,000",0.15,,,
SDG,Sunland Group Limited,Real Estate,"225,901,000",0.01,,,
SEK,Seek Limited,Industrials,"6,689,180,000",0.36,,,
SFC,Schaffer Corp. Limited,Consumer Discretionary,"202,550,000",0.01,,,
SFG,Seafarms Group Limited,Consumer Staples,"108,302,000",0.01,,,
SFR,Sandfire Resources,Materials,"649,806,000",0.04,,,
SFX,Sheffield Res Limited,Materials,"32,440,700",0,,,
SGF,SG Fleet Group Limited,Industrials,"507,279,000",0.03,,,
SGH,Slater & Gordon,Consumer Discretionary,"99,668,800",0.01,,,
SGM,Sims Limited,Materials,"1,644,410,000",0.09,,,
SGP,Stockland FP Ordinary/Units Stapled Securities,Real Estate,"10,443,500,000",0.56,,,
SGR,The Star Ent Group,Consumer Discretionary,"2,999,650,000",0.16,,,
SHJ,Shine Corporate,Consumer Discretionary,"139,476,000",0.01,,,
SHL,Sonic Healthcare,Health Care,"14,451,200,000",0.78,,,
SHV,Select Harvests,Consumer Staples,"599,196,000",0.03,,,
SIG,Sigma Health Limited,Health Care,"545,569,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"794,242,000",0.04,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"1,908,180,000",0.1,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,482,640,000",0.19,,,
SKT,Sky Network,Communication Services,"218,013,000",0.01,,,
SLC,Superloop Limited,,"274,400,000",0.01,,,
SLK,Sealink Travel Group,Consumer Discretionary,"853,940,000",0.05,,,
SLR,Silver Lake Resource,Materials,"1,319,770,000",0.07,,,
SM1,Synlait Milk Limited Foreign Exempt NZX,Consumer Staples,"932,396,000",0.05,,,
SMR,Stanmore Coal Limited,Energy,"202,346,000",0.01,,,
SNL,Supply Network,Consumer Discretionary,"166,714,000",0.01,,,
SOL,Soul Pattinson (W.H),Energy,"4,620,330,000",0.25,,,
SPK,Spark New Zealand Foreign Exempt NZX,,"8,432,040,000",0.45,,,
SPL,Starpharma Holdings,Health Care,"366,954,000",0.02,,,
SRG,SRG Global Limited,Industrials,"135,968,000",0.01,,,
SRV,Servcorp Limited,Real Estate,"363,067,000",0.02,,,
SSM,Service Stream,Industrials,"780,330,000",0.04,,,
SST,Steamships Trading 50 Toea,Industrials,"372,099,000",0.02,,,
STO,Santos Limited,Energy,"10,248,700,000",0.55,,,
STX,Strike Energy Limited,Energy,"196,219,000",0.01,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,461,830,000",0.08,,,
SUN,Suncorp Group Limited,Financials,"13,542,600,000",0.73,,,
SVW,Seven Group Holdings,Industrials,"5,165,020,000",0.28,,,
SWM,Seven West Media Limited,Communication Services,"169,184,000",0.01,,,
SXE,STH CRS Elect ENGNR,Industrials,"127,521,000",0.01,,,
SXL,STHN Cross Media,Communication Services,"426,803,000",0.02,,,
SXY,SENEX Energy Limited,Energy,"298,624,000",0.02,,,
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,"14,960,100,000",0.81,,,
SYR,Syrah Resources,Materials,"146,853,000",0.01,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"6,865,720,000",0.37,,,
TBR,Tribune Res Limited,Materials,"277,515,000",0.01,,,
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,"39,795,700,000",2.14,,,
TER,Terracom Limited,Energy,"108,745,000",0.01,,,
TGN,Tungsten Min NL,Materials,"115,562,000",0.01,,,
TGP,360 Capital Group FP Ordinary/Units Stapled Securities,Real Estate,"230,873,000",0.01,,,
TGR,Tassal Group Limited,Consumer Staples,"775,582,000",0.04,,,
TLS,Telstra Corporation,,"41,626,500,000",2.24,,,
TNE,Technology One,Information Technology,"2,319,920,000",0.13,,,
TPM,TPG Telecom Limited,,"7,478,160,000",0.4,,,
TWE,Treasury Wine Estate,Consumer Staples,"7,206,650,000",0.39,,,
TZN,Terramin Australia,Materials,"65,613,400",0,,,
UOS,United Overseas Aust,Real Estate,"348,352,000",0.02,,,
URF,US Masters Res Fund Ordinary Units FP,Real Estate,"146,712,000",0.01,,,
URW,Unibailrodawestfield Cdi 20:1 Foreign Exempt Xpar,Real Estate,"2,433,070,000",0.13,,,
VAH,Virgin Aus HLDG Limited,Industrials,"633,391,000",0.03,,,
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,"7,552,090,000",0.41,,,
VEA,Viva Energy Group,Energy,"3,130,700,000",0.17,,,
VHT,Volpara Health Tech,Health Care,"258,899,000",0.01,,,
VOC,Vocus Group Limited,,"2,047,880,000",0.11,,,
VRL,Village Roadshow Limited,Communication Services,"624,563,000",0.03,,,
VRT,Virtus Health Limited,Health Care,"284,580,000",0.02,,,
VTG,Vita Group Limited,Consumer Discretionary,"202,239,000",0.01,,,
VTH,Vitalharvest Ordinary Units FP,Real Estate,"135,050,000",0.01,,,
VUK,Virgin Money Uk Plc Cdi 1:1 Foreign Exempt Lse,Financials,"2,149,660,000",0.12,,,
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,"2,069,280,000",0.11,,,
WAF,West African Res Limited,Materials,"526,640,000",0.03,,,
WBC,Westpac Banking Corp,Financials,"74,184,000,000",4,,,
WEB,Webjet Limited,Consumer Discretionary,"989,887,000",0.05,,,
WES,Wesfarmers Limited,Consumer Discretionary,"44,117,700,000",2.38,,,
WGN,Wagners HLD Company,Materials,"209,661,000",0.01,,,
WGX,Westgold Resources,Materials,"749,812,000",0.04,,,
WHA,Wattle Health Au Limited,Consumer Staples,"105,261,000",0.01,,,
WHC,Whitehaven Coal,Energy,"1,877,660,000",0.1,,,
WJA,Wameja Limited,Information Technology,"96,868,100",0.01,,,
WOR,Worley Limited,Energy,"5,203,860,000",0.28,,,
WOW,Woolworths Group Limited,Consumer Staples,"47,093,800,000",2.54,,,
WPL,Woodside Petroleum,Energy,"20,730,300,000",1.12,,,
WPP,WPP AUNZ Limited,Communication Services,"485,727,000",0.03,,,
WSA,Western Areas Limited,Materials,"607,715,000",0.03,,,
WTC,Wisetech Global Limited,Information Technology,"4,535,970,000",0.24,,,
XRO,Xero Limited,Information Technology,"10,753,900,000",0.58,,,
YAL,Yancoal Aust Limited,Energy,"3,248,280,000",0.18,,,
Z1P,ZIP Co Limited,Financials,"741,740,000",0.04,,,
ZEL,Z Energy Limited Foreign Exempt NZX,Energy,"1,528,000,000",0.08,,,
ZIM,Zimplats Holding Limited 10c US,Materials,"1,079,610,000",0.06,,,
