Symbol,Name
AUDUSD=X,AUD/USD
AUDGBP=X,AUD/GBP
AUDJPY=X,AUD/JPY
AUDNZD=X,AUD/NZD
EURUSD=X,EUR/USD
EURCAD=X,EUR/CAD
JPY=X,USD/JPY
GBPUSD=X,GBP/USD
CHF=X,USD/CHF
CAD=X,USD/CAD
EURJPY=X,EUR/JPY
GBPJPY=X,GBP/JPY
EURGBP=X,EUR/GBP
EURSEK=X,EUR/SEK
EURCHF=X,EUR/CHF
EURHUF=X,EUR/HUF
USDCNY=X,USD/CNY
USDHKD=X,USD/HKD
USDSGD=X,USD/SGD
USDINR=X,USD/INR
USDMXN=X,USD/MXN
USDPHP=X,USD/PHP
USDIDR=X,USD/IDR
USDTHB=X,USD/THB
USDMYR=X,USD/MYR
USDZAR=X,USD/ZAR
USDRUB=X,USD/RUB
