code,expiry_date,put_call,exercise,bin,offer,last,volume,open_interest,margin_price
A2MZ17,23/04/2020,Call,0.010,15.865,15.865,0.000, ,0,15.865
A2MZO7,23/04/2020,Call,9.500,6.380,6.380,0.000, ,0,6.380
A2MZP7,23/04/2020,Put,9.500,0.002,0.002,0.000, ,0,0.002
A2MZQ7,23/04/2020,Call,9.750,6.135,6.135,0.000, ,0,6.135
A2MZR7,23/04/2020,Put,9.750,0.004,0.004,0.000, ,0,0.004
A2MY57,23/04/2020,Call,10.000,5.885,5.885,0.000, ,0,5.885
A2MY67,23/04/2020,Put,10.000,0.006,0.006,0.000, ,20,0.006
A2MY77,23/04/2020,Call,10.250,5.645,5.645,0.000, ,0,5.645
A2MY87,23/04/2020,Put,10.250,0.009,0.009,0.000, ,0,0.009
A2MY97,23/04/2020,Call,10.500,5.405,5.405,0.000, ,0,5.405
A2MYA7,23/04/2020,Put,10.500,0.010,0.010,0.000, ,0,0.010
A2MYB7,23/04/2020,Call,10.750,5.165,5.165,0.000, ,0,5.165
A2MYC7,23/04/2020,Put,10.750,0.015,0.015,0.000, ,0,0.015
A2MYD7,23/04/2020,Call,11.000,4.930,4.930,0.000, ,0,4.930
A2MYE7,23/04/2020,Put,11.000,0.025,0.025,0.000, ,2,0.025
A2MYF7,23/04/2020,Call,11.250,4.685,4.685,0.000, ,0,4.685
A2MYG7,23/04/2020,Put,11.250,0.035,0.035,0.000, ,0,0.035
A2MYH7,23/04/2020,Call,11.500,4.445,4.445,0.000, ,0,4.445
A2MYI7,23/04/2020,Put,11.500,0.045,0.045,0.000, ,0,0.045
A2MYJ7,23/04/2020,Call,11.750,4.200,4.200,0.000, ,0,4.200
A2MYK7,23/04/2020,Put,11.750,0.055,0.055,0.000, ,0,0.055
A2MYL7,23/04/2020,Call,12.000,3.955,3.955,0.000, ,100,3.955
A2MYM7,23/04/2020,Put,12.000,0.075,0.075,0.000, ,1,0.075
A2MYN7,23/04/2020,Call,12.250,3.715,3.715,0.000, ,0,3.715
A2MYO7,23/04/2020,Put,12.250,0.090,0.090,0.000, ,0,0.090
A2MYP7,23/04/2020,Call,12.500,3.480,3.480,0.000, ,0,3.480
A2MYQ7,23/04/2020,Put,12.500,0.115,0.115,0.000, ,10,0.115
A2MYR7,23/04/2020,Call,12.750,3.250,3.250,0.000, ,0,3.250
A2MYS7,23/04/2020,Put,12.750,0.140,0.140,0.000, ,0,0.140
A2MYT7,23/04/2020,Call,13.000,3.025,3.025,0.000, ,0,3.025
A2MYU7,23/04/2020,Put,13.000,0.170,0.170,0.000, ,0,0.170
A2MYV7,23/04/2020,Call,13.250,2.805,2.805,0.000, ,0,2.805
A2MYW7,23/04/2020,Put,13.250,0.200,0.200,0.000, ,16,0.200
A2MYX7,23/04/2020,Call,13.500,2.590,2.590,0.000, ,0,2.590
A2MYZ7,23/04/2020,Put,13.500,0.230,0.230,0.000, ,0,0.230
A2MZ27,23/04/2020,Call,13.750,2.380,2.380,0.000, ,0,2.380
A2MZ37,23/04/2020,Put,13.750,0.270,0.270,0.000, ,23,0.270
A2MB88,23/04/2020,Call,14.000,2.170,2.170,2.500,6,121,2.170
A2MB98,23/04/2020,Put,14.000,0.310,0.310,0.300,145,75,0.310
A2MBF8,23/04/2020,Call,14.250,1.970,1.970,0.000, ,0,1.970
A2MBG8,23/04/2020,Put,14.250,0.355,0.355,0.000, ,96,0.355
A2MBH8,23/04/2020,Call,14.500,1.775,1.775,0.000, ,0,1.775
A2MBI8,23/04/2020,Put,14.500,0.405,0.405,0.000, ,161,0.405
A2MBJ8,23/04/2020,Call,14.750,1.595,1.595,0.000, ,0,1.595
A2MBK8,23/04/2020,Put,14.750,0.470,0.470,0.000, ,60,0.470
A2MBL8,23/04/2020,Call,15.000,1.410,1.410,0.000, ,700,1.410
A2MBM8,23/04/2020,Put,15.000,0.535,0.535,0.510,50,165,0.535
A2MBS8,23/04/2020,Call,15.500,1.080,1.080,0.000, ,15,1.080
A2MBT8,23/04/2020,Put,15.500,0.705,0.705,0.580,20,385,0.705
A2MBU8,23/04/2020,Call,16.000,0.790,0.790,1.050,20,77,0.790
A2MBV8,23/04/2020,Put,16.000,0.925,0.925,0.000, ,510,0.925
A2MBY8,23/04/2020,Call,16.500,0.545,0.545,0.630,56,500,0.545
A2MBZ8,23/04/2020,Put,16.500,1.190,1.190,0.000, ,100,1.190
A2MC38,23/04/2020,Call,17.000,0.350,0.350,0.000,300,600,0.350
A2MC48,23/04/2020,Put,17.000,1.510,1.510,0.000, ,0,1.510
A2MCG8,23/04/2020,Call,17.500,0.215,0.215,0.000, ,125,0.215
A2MCH8,23/04/2020,Put,17.500,1.875,1.875,0.000, ,0,1.875
A2MDS8,23/04/2020,Call,18.000,0.130,0.130,0.000,300,485,0.130
A2MDT8,23/04/2020,Put,18.000,2.290,2.290,0.000, ,0,2.290
A2ME18,23/04/2020,Call,18.500,0.075,0.075,0.110,8,8,0.075
A2ME28,23/04/2020,Put,18.500,2.740,2.740,0.000, ,0,2.740
A2MG48,23/04/2020,Call,19.000,0.040,0.040,0.000, ,16,0.040
A2MG58,23/04/2020,Put,19.000,3.210,3.210,0.000, ,0,3.210
A2MJA8,23/04/2020,Call,19.500,0.025,0.025,0.000, ,0,0.025
A2MJB8,23/04/2020,Put,19.500,3.695,3.695,0.000, ,0,3.695
A2MKI8,23/04/2020,Call,20.000,0.015,0.015,0.000, ,0,0.015
A2MKJ8,23/04/2020,Put,20.000,4.180,4.180,0.000, ,0,4.180
A2MDN8,28/05/2020,Call,0.010,15.875,15.875,0.000, ,0,15.875
A2MEI8,28/05/2020,Call,12.250,3.835,3.835,0.000, ,0,3.835
A2MEJ8,28/05/2020,Put,12.250,0.260,0.260,0.000, ,0,0.260
A2ME58,28/05/2020,Call,12.500,3.635,3.635,0.000, ,0,3.635
A2ME68,28/05/2020,Put,12.500,0.305,0.305,0.000, ,10,0.305
A2MCI8,28/05/2020,Call,12.750,3.450,3.450,0.000, ,0,3.450
A2MCJ8,28/05/2020,Put,12.750,0.345,0.345,0.000, ,0,0.345
A2MCK8,28/05/2020,Call,13.000,3.255,3.255,0.000, ,0,3.255
A2MCL8,28/05/2020,Put,13.000,0.385,0.385,0.000, ,0,0.385
A2MCM8,28/05/2020,Call,13.250,3.060,3.060,0.000, ,0,3.060
A2MCN8,28/05/2020,Put,13.250,0.435,0.435,0.000, ,0,0.435
A2MCO8,28/05/2020,Call,13.500,2.865,2.865,0.000, ,0,2.865
A2MCP8,28/05/2020,Put,13.500,0.490,0.490,0.000, ,0,0.490
A2MCQ8,28/05/2020,Call,13.750,2.675,2.675,0.000, ,0,2.675
A2MCR8,28/05/2020,Put,13.750,0.545,0.545,0.000, ,100,0.545
A2MCS8,28/05/2020,Call,14.000,2.485,2.485,0.000, ,100,2.485
A2MCT8,28/05/2020,Put,14.000,0.610,0.610,0.000, ,100,0.610
A2MCU8,28/05/2020,Call,14.250,2.310,2.310,0.000, ,200,2.310
A2MCV8,28/05/2020,Put,14.250,0.680,0.680,0.000, ,100,0.680
A2MCW8,28/05/2020,Call,14.500,2.130,2.130,0.000, ,129,2.130
A2MCX8,28/05/2020,Put,14.500,0.750,0.750,0.000, ,224,0.750
