code,expiry_date,put_call,exercise,bin,offer,last,volume,open_interest,margin_price
A2MCY8,28/05/2020,Call,14.750,1.965,1.965,0.000, ,100,1.965
A2MCZ8,28/05/2020,Put,14.750,0.835,0.835,0.000, ,200,0.835
A2MD18,28/05/2020,Call,15.000,1.805,1.805,0.000, ,100,1.805
A2MD28,28/05/2020,Put,15.000,0.925,0.925,0.000, ,100,0.925
A2MD38,28/05/2020,Call,15.500,1.505,1.505,0.000, ,0,1.505
A2MD48,28/05/2020,Put,15.500,1.125,1.125,0.000, ,"1,002",1.125
A2MD58,28/05/2020,Call,16.000,1.225,1.225,0.000, ,10,1.225
A2MD68,28/05/2020,Put,16.000,1.345,1.345,0.000, ,0,1.345
A2MD78,28/05/2020,Call,16.500,0.975,0.975,0.000, ,405,0.975
A2MD88,28/05/2020,Put,16.500,1.590,1.590,0.000, ,0,1.590
A2MD98,28/05/2020,Call,17.000,0.760,0.760,0.000, ,788,0.760
A2MDK8,28/05/2020,Put,17.000,1.875,1.875,0.000, ,0,1.875
A2MDL8,28/05/2020,Call,17.500,0.575,0.575,0.000, ,100,0.575
A2MDM8,28/05/2020,Put,17.500,2.190,2.190,0.000, ,0,2.190
A2MDU8,28/05/2020,Call,18.000,0.420,0.420,0.000, ,2,0.420
A2MDV8,28/05/2020,Put,18.000,2.540,2.540,0.000, ,0,2.540
A2ME38,28/05/2020,Call,18.500,0.295,0.295,0.000, ,0,0.295
A2ME48,28/05/2020,Put,18.500,2.920,2.920,0.000, ,0,2.920
A2MG68,28/05/2020,Call,19.000,0.200,0.200,0.000, ,100,0.200
A2MG78,28/05/2020,Put,19.000,3.330,3.330,0.000, ,0,3.330
A2MJC8,28/05/2020,Call,19.500,0.125,0.125,0.000, ,0,0.125
A2MJD8,28/05/2020,Put,19.500,3.765,3.765,0.000, ,0,3.765
A2MKK8,28/05/2020,Call,20.000,0.080,0.080,0.000, ,0,0.080
A2MKL8,28/05/2020,Put,20.000,4.210,4.210,0.000, ,0,4.210
A2MFS8,25/06/2020,Call,0.010,15.880,15.880,0.000, ,0,15.880
A2MFX8,25/06/2020,Call,12.250,3.970,3.970,0.000, ,0,3.970
A2MFY8,25/06/2020,Put,12.250,0.410,0.410,0.000, ,0,0.410
A2MFV8,25/06/2020,Call,12.500,3.800,3.800,0.000, ,0,3.800
A2MFW8,25/06/2020,Put,12.500,0.445,0.445,0.000, ,0,0.445
A2MFT8,25/06/2020,Call,12.750,3.610,3.610,0.000, ,0,3.610
A2MFU8,25/06/2020,Put,12.750,0.490,0.490,0.000, ,0,0.490
A2MES8,25/06/2020,Call,13.000,3.425,3.425,0.000, ,0,3.425
A2MET8,25/06/2020,Put,13.000,0.545,0.545,0.000, ,0,0.545
A2MEU8,25/06/2020,Call,13.250,3.230,3.230,0.000, ,0,3.230
A2MEV8,25/06/2020,Put,13.250,0.600,0.600,0.000, ,0,0.600
A2MEW8,25/06/2020,Call,13.500,3.040,3.040,0.000, ,0,3.040
A2MEX8,25/06/2020,Put,13.500,0.655,0.655,0.000, ,0,0.655
A2MEY8,25/06/2020,Call,13.750,2.870,2.870,0.000, ,0,2.870
A2MEZ8,25/06/2020,Put,13.750,0.725,0.725,0.000, ,0,0.725
A2MF18,25/06/2020,Call,14.000,2.700,2.700,0.000, ,0,2.700
A2MF28,25/06/2020,Put,14.000,0.800,0.800,0.000, ,"2,000",0.800
A2MF38,25/06/2020,Call,14.250,2.530,2.530,0.000, ,0,2.530
A2MF48,25/06/2020,Put,14.250,0.875,0.875,0.000, ,0,0.875
A2MF58,25/06/2020,Call,14.500,2.370,2.370,0.000, ,100,2.370
A2MF68,25/06/2020,Put,14.500,0.960,0.960,0.000, ,0,0.960
A2MF78,25/06/2020,Call,14.750,2.205,2.205,0.000, ,100,2.205
A2MF88,25/06/2020,Put,14.750,1.055,1.055,0.000, ,0,1.055
A2MF98,25/06/2020,Call,15.000,2.040,2.040,0.000, ,0,2.040
A2MFF8,25/06/2020,Put,15.000,1.145,1.145,0.000, ,0,1.145
A2MFG8,25/06/2020,Call,15.500,1.735,1.735,0.000, ,43,1.735
A2MFH8,25/06/2020,Put,15.500,1.355,1.355,0.000, ,0,1.355
A2MFI8,25/06/2020,Call,16.000,1.455,1.455,0.000, ,"2,022",1.455
A2MFJ8,25/06/2020,Put,16.000,1.580,1.580,0.000, ,0,1.580
A2MFK8,25/06/2020,Call,16.500,1.205,1.205,0.000, ,30,1.205
A2MFL8,25/06/2020,Put,16.500,1.835,1.835,0.000, ,0,1.835
A2MFM8,25/06/2020,Call,17.000,0.995,0.995,0.000, ,0,0.995
A2MFN8,25/06/2020,Put,17.000,2.115,2.115,0.000, ,0,2.115
A2MFO8,25/06/2020,Call,17.500,0.800,0.800,0.000, ,0,0.800
A2MFP8,25/06/2020,Put,17.500,2.425,2.425,0.000, ,0,2.425
A2MFQ8,25/06/2020,Call,18.000,0.630,0.630,0.000, ,0,0.630
A2MFR8,25/06/2020,Put,18.000,2.760,2.760,0.000, ,0,2.760
A2MG88,25/06/2020,Call,18.500,0.490,0.490,0.000, ,0,0.490
A2MG98,25/06/2020,Put,18.500,3.120,3.120,0.000, ,0,3.120
A2MGK8,25/06/2020,Call,19.000,0.365,0.365,0.000, ,0,0.365
A2MGL8,25/06/2020,Put,19.000,3.495,3.495,0.000, ,0,3.495
A2MJE8,25/06/2020,Call,19.500,0.260,0.260,0.000, ,0,0.260
A2MJF8,25/06/2020,Put,19.500,3.890,3.890,0.000, ,0,3.890
A2MKM8,25/06/2020,Call,20.000,0.180,0.180,0.000, ,35,0.180
A2MKN8,25/06/2020,Put,20.000,4.300,4.300,0.000, ,0,4.300
A2MIU8,16/07/2020,Call,0.010,15.880,15.880,0.000, ,0,15.880
A2MIZ8,16/07/2020,Call,12.250,4.085,4.085,0.000, ,0,4.085
A2MJ18,16/07/2020,Put,12.250,0.525,0.525,0.000, ,0,0.525
A2MIX8,16/07/2020,Call,12.500,3.900,3.900,0.000, ,0,3.900
A2MIY8,16/07/2020,Put,12.500,0.565,0.565,0.000, ,1,0.565
A2MIV8,16/07/2020,Call,12.750,3.730,3.730,0.000, ,0,3.730
A2MIW8,16/07/2020,Put,12.750,0.610,0.610,0.000, ,15,0.610
A2MGU8,16/07/2020,Call,13.000,3.545,3.545,0.000, ,0,3.545
A2MGV8,16/07/2020,Put,13.000,0.665,0.665,0.000, ,0,0.665
A2MGW8,16/07/2020,Call,13.250,3.355,3.355,0.000, ,0,3.355
A2MGX8,16/07/2020,Put,13.250,0.720,0.720,0.000, ,0,0.720
A2MGY8,16/07/2020,Call,13.500,3.180,3.180,0.000, ,0,3.180
A2MGZ8,16/07/2020,Put,13.500,0.790,0.790,0.000, ,0,0.790
A2MI18,16/07/2020,Call,13.750,3.010,3.010,0.000, ,0,3.010
A2MI28,16/07/2020,Put,13.750,0.865,0.865,0.000, ,0,0.865
A2MI38,16/07/2020,Call,14.000,2.840,2.840,0.000, ,0,2.840
A2MI48,16/07/2020,Put,14.000,0.935,0.935,0.000, ,0,0.935
A2MI58,16/07/2020,Call,14.250,2.675,2.675,0.000, ,0,2.675
A2MI68,16/07/2020,Put,14.250,1.015,1.015,0.000, ,0,1.015
A2MI78,16/07/2020,Call,14.500,2.525,2.525,0.000, ,0,2.525
A2MI88,16/07/2020,Put,14.500,1.105,1.105,0.000, ,0,1.105
A2MI98,16/07/2020,Call,14.750,2.370,2.370,0.000, ,0,2.370
A2MIF8,16/07/2020,Put,14.750,1.195,1.195,0.000, ,0,1.195
A2MIG8,16/07/2020,Call,15.000,2.215,2.215,0.000, ,0,2.215
A2MIH8,16/07/2020,Put,15.000,1.285,1.285,0.000, ,0,1.285
A2MII8,16/07/2020,Call,15.500,1.930,1.930,0.000, ,5,1.930
A2MIJ8,16/07/2020,Put,15.500,1.500,1.500,0.000, ,0,1.500
A2MIK8,16/07/2020,Call,16.000,1.655,1.655,0.000, ,30,1.655
A2MIL8,16/07/2020,Put,16.000,1.730,1.730,0.000, ,0,1.730
A2MIM8,16/07/2020,Call,16.500,1.405,1.405,0.000, ,0,1.405
A2MIN8,16/07/2020,Put,16.500,1.985,1.985,0.000, ,0,1.985
A2MIO8,16/07/2020,Call,17.000,1.180,1.180,0.000, ,0,1.180
A2MIP8,16/07/2020,Put,17.000,2.265,2.265,0.000, ,0,2.265
A2MIQ8,16/07/2020,Call,17.500,0.965,0.965,0.000, ,5,0.965
A2MIR8,16/07/2020,Put,17.500,2.560,2.560,0.000, ,0,2.560
A2MIS8,16/07/2020,Call,18.000,0.790,0.790,0.000, ,60,0.790
A2MIT8,16/07/2020,Put,18.000,2.890,2.890,0.000, ,0,2.890
A2MJ28,16/07/2020,Call,18.500,0.630,0.630,0.000, ,0,0.630
A2MJ38,16/07/2020,Put,18.500,3.235,3.235,0.000, ,0,3.235
A2MJ48,16/07/2020,Call,19.000,0.490,0.490,0.000, ,0,0.490
A2MJ58,16/07/2020,Put,19.000,3.610,3.610,0.000, ,0,3.610
A2MJG8,16/07/2020,Call,19.500,0.380,0.380,0.000, ,0,0.380
A2MJH8,16/07/2020,Put,19.500,4.015,4.015,0.000, ,0,4.015
A2MKO8,16/07/2020,Call,20.000,0.285,0.285,0.000, ,0,0.285
A2MKP8,16/07/2020,Put,20.000,4.430,4.430,0.000, ,0,4.430
A2MKD8,20/08/2020,Call,0.010,15.895,15.895,0.000, ,0,15.895
A2MKW8,20/08/2020,Call,12.750,3.970,3.970,0.000, ,0,3.970
A2MKX8,20/08/2020,Put,12.750,0.825,0.825,0.000, ,64,0.825
A2MKS8,20/08/2020,Call,13.000,3.790,3.790,0.000, ,0,3.790
A2MKT8,20/08/2020,Put,13.000,0.890,0.890,0.000, ,40,0.890
A2MKU8,20/08/2020,Call,13.250,3.605,3.605,0.000, ,0,3.605
A2MKV8,20/08/2020,Put,13.250,0.960,0.960,0.000, ,7,0.960
A2MKE8,20/08/2020,Call,13.500,3.430,3.430,0.000, ,0,3.430
A2MKF8,20/08/2020,Put,13.500,1.035,1.035,0.000, ,0,1.035
A2MJI8,20/08/2020,Call,13.750,3.255,3.255,0.000, ,0,3.255
A2MJJ8,20/08/2020,Put,13.750,1.105,1.105,0.000, ,0,1.105
A2MJK8,20/08/2020,Call,14.000,3.095,3.095,0.000, ,0,3.095
A2MJL8,20/08/2020,Put,14.000,1.195,1.195,0.000, ,0,1.195
A2MJM8,20/08/2020,Call,14.250,2.945,2.945,0.000, ,0,2.945
A2MJN8,20/08/2020,Put,14.250,1.290,1.290,0.000, ,0,1.290
A2MJO8,20/08/2020,Call,14.500,2.785,2.785,0.000, ,0,2.785
A2MJP8,20/08/2020,Put,14.500,1.385,1.385,0.000, ,0,1.385
A2MJQ8,20/08/2020,Call,14.750,2.630,2.630,0.000, ,0,2.630
A2MJR8,20/08/2020,Put,14.750,1.480,1.480,0.000, ,253,1.480
A2MJS8,20/08/2020,Call,15.000,2.480,2.480,0.000, ,0,2.480
A2MJT8,20/08/2020,Put,15.000,1.585,1.585,0.000, ,0,1.585
A2MJU8,20/08/2020,Call,15.500,2.200,2.200,0.000, ,0,2.200
A2MJV8,20/08/2020,Put,15.500,1.805,1.805,0.000, ,0,1.805
A2MJW8,20/08/2020,Call,16.000,1.930,1.930,0.000, ,0,1.930
A2MJX8,20/08/2020,Put,16.000,2.035,2.035,0.000, ,0,2.035
A2MJY8,20/08/2020,Call,16.500,1.690,1.690,0.000, ,0,1.690
A2MJZ8,20/08/2020,Put,16.500,2.290,2.290,0.000, ,0,2.290
A2MK18,20/08/2020,Call,17.000,1.460,1.460,0.000, ,0,1.460
A2MK28,20/08/2020,Put,17.000,2.560,2.560,0.000, ,0,2.560
A2MK38,20/08/2020,Call,17.500,1.260,1.260,0.000, ,0,1.260
A2MK48,20/08/2020,Put,17.500,2.855,2.855,0.000, ,0,2.855
A2MK58,20/08/2020,Call,18.000,1.070,1.070,0.000, ,0,1.070
A2MK68,20/08/2020,Put,18.000,3.165,3.165,0.000, ,0,3.165
A2MK78,20/08/2020,Call,18.500,0.900,0.900,0.000, ,0,0.900
A2MK88,20/08/2020,Put,18.500,3.500,3.500,0.000, ,0,3.500
A2MK98,20/08/2020,Call,19.000,0.745,0.745,0.000, ,0,0.745
A2MKA8,20/08/2020,Put,19.000,3.855,3.855,0.000, ,0,3.855
A2MKB8,20/08/2020,Call,19.500,0.605,0.605,0.000, ,0,0.605
A2MKC8,20/08/2020,Put,19.500,4.245,4.245,0.000, ,0,4.245
A2MKQ8,20/08/2020,Call,20.000,0.480,0.480,0.000, ,253,0.480
A2MKR8,20/08/2020,Put,20.000,4.660,4.660,0.000, ,0,4.660
A2MLT8,17/09/2020,Call,0.010,15.905,15.905,0.000, ,0,15.905
A2MKY8,17/09/2020,Call,13.750,3.410,3.410,0.000, ,0,3.410
A2MKZ8,17/09/2020,Put,13.750,1.250,1.250,0.000, ,0,1.250
A2ML18,17/09/2020,Call,14.000,3.260,3.260,0.000, ,0,3.260
A2ML28,17/09/2020,Put,14.000,1.350,1.350,0.000, ,0,1.350
A2ML38,17/09/2020,Call,14.250,3.105,3.105,0.000, ,0,3.105
A2ML48,17/09/2020,Put,14.250,1.450,1.450,0.000, ,0,1.450
A2ML58,17/09/2020,Call,14.500,2.950,2.950,0.000, ,0,2.950
A2ML68,17/09/2020,Put,14.500,1.545,1.545,0.000, ,0,1.545
A2ML78,17/09/2020,Call,14.750,2.800,2.800,0.000, ,0,2.800
A2ML88,17/09/2020,Put,14.750,1.635,1.635,0.000, ,0,1.635
A2ML98,17/09/2020,Call,15.000,2.670,2.670,0.000, ,0,2.670
A2MLA8,17/09/2020,Put,15.000,1.745,1.745,0.000, ,0,1.745
A2MLB8,17/09/2020,Call,15.500,2.410,2.410,0.000, ,0,2.410
A2MLC8,17/09/2020,Put,15.500,1.970,1.970,0.000, ,0,1.970
A2MLD8,17/09/2020,Call,16.000,2.150,2.150,0.000, ,0,2.150
A2MLE8,17/09/2020,Put,16.000,2.210,2.210,0.000, ,0,2.210
A2MLF8,17/09/2020,Call,16.500,1.905,1.905,0.000, ,0,1.905
A2MLG8,17/09/2020,Put,16.500,2.480,2.480,0.000, ,0,2.480
A2MLH8,17/09/2020,Call,17.000,1.660,1.660,0.000, ,0,1.660
A2MLI8,17/09/2020,Put,17.000,2.755,2.755,0.000, ,0,2.755
A2MLJ8,17/09/2020,Call,17.500,1.455,1.455,0.000, ,0,1.455
A2MLK8,17/09/2020,Put,17.500,3.060,3.060,0.000, ,0,3.060
A2MLL8,17/09/2020,Call,18.000,1.250,1.250,0.000, ,0,1.250
A2MLM8,17/09/2020,Put,18.000,3.355,3.355,0.000, ,0,3.355
A2MLN8,17/09/2020,Call,18.500,1.085,1.085,0.000, ,0,1.085
A2MLO8,17/09/2020,Put,18.500,3.680,3.680,0.000, ,0,3.680
A2MLP8,17/09/2020,Call,19.000,0.915,0.915,0.000, ,0,0.915
A2MLQ8,17/09/2020,Put,19.000,4.015,4.015,0.000, ,0,4.015
A2MLR8,17/09/2020,Call,19.500,0.765,0.765,0.000, ,0,0.765
A2MLS8,17/09/2020,Put,19.500,4.400,4.400,0.000, ,0,4.400
